Comment,Designator,Footprint,LCSC,Quantity
10nF/100V,"C11,C7,C8,C9",C_0805_2012Metric,C107135,4
SMAJ58A,D1,D_SMA,C10762,1
TXS0102DQMR,"U11,U12,U5,U9",IC_TXS0102DQMR,C108605,4
120R@100MHz,FB2,L_0603_1608Metric,C12391,1
DMG2305UX,Q1,SOT-23,C150470,1
PCM5101A,U10,TSSOP-20_4.4x6.5mm_P0.65mm,C1540128,1
10k,R10,R_0201_0603Metric,C166388,1
1.8uH,L2,L_Changjiang_FNR4020S,C167824,1
95278-101A12LF,J7,PinHeader_2x06_P2.54mm_Vertical_SMD,C180404,1
TVS1401DRBR,U8,VSON8_DRB_TEX,C1849891,1
TRS_LINE_OUT,J5,C18594,C18594,1
10uF,"C12,C21,C22,C23,C28,C31",C_0603_1608Metric,C19702,6
BCM857BS,Q2,SOT-363_SC-70-6,C20426291,1
0,"R1,R7,R8",R_0603_1608Metric,C21189,3
2.2uF,"C27,C37",C_0603_1608Metric,C23630,2
75,"R13,R31,R32,R33",R_0402_1005Metric,C25133,4
744231091,L1,WE-CNSW_08058,C2649324,1
5.1k,"R11,R17,R18,R4",R_0201_0603Metric,C270344,4
47k,"R2,R6,R9",R_0201_0603Metric,C270345,3
MF-NSML400_12-2,F1,FUSC3216X120N,C2760306,1
HSP051-4N10,"U3,U4",UQFN10_1P04X1P95X0P4_STM,C2832770,2
0.1uF,"C15,C17,C18,C19,C24,C25,C26,C3,C32,C33,C36,C38,C4",C_0201_0603Metric,C2846674,13
0.01uF,C1,C_0201_0603Metric,C285010,1
68pF,C35,C_0201_0603Metric,C285057,1
LDL212PV33R,U7,DFN_V33R_STM,C2969892,1
NVT4858HKZ,U1,NVT4858_NXP,C3035811,1
2.2nF,"C2,C40",C_0603_1608Metric,C33353,2
100uF,C20,CP_Elec_6.3x5.9,C37308,1
SN74LVC2G07DBVR,U6,SOT-23-6,C37708,1
4.7nF,"C29,C30",C_1206_3216Metric,C393168,2
900@100MHz,FL1,ACM4520_TDK,C41519,1
470,"R12,R14,R16,R3,R5",R_0402_1005Metric,C423162,5
SBR05M100BLP-7,"D3,D4",RECTIFIER_SBR05M100BLP-7,C443659,2
22uF,C16,C_0805_2012Metric,C45783,1
74AHC1G04,U2,SOT-353_SC-70-5,C460485,1
CON-SMA-EDGE-S,"J6,J8",RFSOLUTIONS_CON-SMA-EDGE-S,C496550,2
LED,"D10,D2,D9",LED_0402_1005Metric,C5160718,3
MYC-C7Z0XX_M1,"M1,M2",251779866,C5163931,2
"PESD5V0U2BM,315","D5,D6,D7,D8",PESD3V3L2UM315,C552578,4
473092651,J3,0473093351,C587826,1
USB1125-GF-B_REVA,J1,GCT_USB1125-GF-B_REVA,C5984324,1
ARJ-146,J4,ARJ146,C6465659,1
220R@100MHz,FB4,L_0603_1608Metric,C66810,1
M55-6002042R,"JM1,JM2",HARWIN_M55-6002042R,C6898669,2
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_GCT_USB4085,C7095263,1
AG9905-MTB,M3,AG9905MTB,C7471304,1
0.1uF/50V,"C14,C34,C5,C6",C_0402_1005Metric,C77020,4
FPGA reset,SW1,SW_SKRTLAE010,C778156,1
1 kOhms@100MHz,"L3,L4,L5,L6,L7,L8",L_0805_2012Metric,C85835,6
1uF,C13,C_0201_0603Metric,C87143,1
1nF/2kV,"C10,C43,C44",C_1206_3216Metric,C9196,3
