Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.01uF,C_0201_0603Metric,-0.35,55.12,90.0,top
C10,1nF/2kV,C_1206_3216Metric,-30.95,6.6625,180.0,top
C11,10nF/100V,C_0805_2012Metric,-20.09,7.74,0.0,top
C12,10uF,C_0603_1608Metric,21.3,53.7,-90.0,top
C13,1uF,C_0201_0603Metric,20.2,53.6,-90.0,top
C14,0.1uF/50V,C_0402_1005Metric,-8.0,11.94,0.0,top
C15,0.1uF,C_0201_0603Metric,26.3,52.9,-90.0,top
C16,22uF,C_0805_2012Metric,30.1,53.5,-90.0,top
C17,0.1uF,C_0201_0603Metric,28.3,52.88,-90.0,top
C18,0.1uF,C_0201_0603Metric,30.72,43.15,270.0,bottom
C19,0.1uF,C_0201_0603Metric,29.47,43.15,270.0,bottom
C2,2.2nF,C_0603_1608Metric,-18.01,53.95,135.0,bottom
C20,100uF,CP_Elec_6.3x5.9,-26.75,-13.61,90.0,bottom
C21,10uF,C_0603_1608Metric,-24.16,-12.11,90.0,top
C22,10uF,C_0603_1608Metric,-20.39,41.19,0.0,top
C23,10uF,C_0603_1608Metric,-21.0,47.5,180.0,top
C24,0.1uF,C_0201_0603Metric,-21.63,41.03,270.0,bottom
C25,0.1uF,C_0201_0603Metric,-20.23,39.61,180.0,bottom
C26,0.1uF,C_0201_0603Metric,-21.69,46.61,270.0,bottom
C27,2.2uF,C_0603_1608Metric,-19.28,45.75,180.0,top
C28,10uF,C_0603_1608Metric,-30.53,-13.36,90.0,top
C29,4.7nF,C_1206_3216Metric,-21.8,-8.6,-90.0,top
C3,0.1uF,C_0201_0603Metric,4.84,49.36,180.0,top
C30,4.7nF,C_1206_3216Metric,-4.2,-8.6,-90.0,top
C31,10uF,C_0603_1608Metric,-22.9,23.49,-90.0,top
C32,0.1uF,C_0201_0603Metric,-19.91,26.18,180.0,bottom
C33,0.1uF,C_0201_0603Metric,-1.29,55.12,90.0,top
C34,0.1uF/50V,C_0402_1005Metric,-8.0,13.24,0.0,top
C35,68pF,C_0201_0603Metric,-19.9025,27.002499,180.0,bottom
C36,0.1uF,C_0201_0603Metric,-26.9025,17.252499,0.0,top
C37,2.2uF,C_0603_1608Metric,-17.5,47.5,0.0,top
C38,0.1uF,C_0201_0603Metric,14.98,52.74,180.0,bottom
C4,0.1uF,C_0201_0603Metric,2.27,49.72,90.0,bottom
C40,2.2nF,C_0603_1608Metric,-22.458008,49.541992,315.0,bottom
C43,1nF/2kV,C_1206_3216Metric,-21.8,9.88,0.0,top
C44,1nF/2kV,C_1206_3216Metric,-21.8,3.59,0.0,top
C5,0.1uF/50V,C_0402_1005Metric,-8.0,-0.67,0.0,top
C6,0.1uF/50V,C_0402_1005Metric,-8.0,0.61,0.0,top
C7,10nF/100V,C_0805_2012Metric,-23.49,5.74,180.0,top
C8,10nF/100V,C_0805_2012Metric,-23.49,7.74,180.0,top
C9,10nF/100V,C_0805_2012Metric,-20.09,5.74,0.0,top
D1,SMAJ58A,D_SMA,-13.0,-8.2,0.0,top
D10,LED,LED_0402_1005Metric,-4.89,-2.075,270.0,bottom
D2,LED,LED_0402_1005Metric,-8.425,56.95,180.0,bottom
D3,SBR05M100BLP-7,RECTIFIER_SBR05M100BLP-7,-11.19375,-4.300001,-90.0,top
D4,SBR05M100BLP-7,RECTIFIER_SBR05M100BLP-7,-14.79375,-4.300001,-90.0,top
D5,"PESD5V0U2BM,315",PESD3V3L2UM315,-3.19,-0.14,135.0,bottom
D6,"PESD5V0U2BM,315",PESD3V3L2UM315,-1.983414,1.171612,135.0,bottom
D7,"PESD5V0U2BM,315",PESD3V3L2UM315,-0.917487,5.207487,135.0,bottom
D8,"PESD5V0U2BM,315",PESD3V3L2UM315,-2.181612,3.963414,135.0,bottom
D9,LED,LED_0402_1005Metric,-4.89,15.110001,270.0,bottom
F1,MF-NSML400_12-2,FUSC3216X120N,-26.4025,23.252499,180.0,bottom
FB2,120R@100MHz,L_0603_1608Metric,27.2625,54.374999,0.0,top
FB4,220R@100MHz,L_0603_1608Metric,6.0,46.5,0.0,top
FID1,Fiducial,Fiducial_0.5mm_Mask1mm,37.82,-11.23,0.0,top
FID10,Fiducial,Fiducial_0.5mm_Mask1mm,-23.03,37.97,0.0,bottom
FID2,Fiducial,Fiducial_0.5mm_Mask1mm,40.0,48.0,0.0,top
FID3,Fiducial,Fiducial_0.5mm_Mask1mm,4.0,-14.0,0.0,bottom
FID4,Fiducial,Fiducial_0.5mm_Mask1mm,51.0,-14.0,0.0,bottom
FID5,Fiducial,Fiducial_0.5mm_Mask1mm,3.6,-7.5,0.0,top
FID6,Fiducial,Fiducial_0.5mm_Mask1mm,-12.0,48.0,0.0,bottom
FID7,Fiducial,Fiducial_0.5mm_Mask1mm,51.0,54.0,0.0,bottom
FID8,Fiducial,Fiducial_0.5mm_Mask1mm,13.0,47.0,0.0,top
FID9,Fiducial,Fiducial_0.5mm_Mask1mm,45.0,20.0,0.0,top
FL1,900@100MHz,ACM4520_TDK,-26.652501,21.127496,-90.0,top
J1,USB1125-GF-B_REVA,GCT_USB1125-GF-B_REVA,-30.2245,34.67,90.0,bottom
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4085,-32.9725,22.077499,90.0,bottom
J3,473092651,0473093351,-1.135,55.63,180.0,bottom
J4,ARJ-146,ARJ146,-21.95375,6.765,90.0,bottom
J5,TRS_LINE_OUT,C18594,-30.58,53.1,270.0,bottom
J6,CON-SMA-EDGE-S,RFSOLUTIONS_CON-SMA-EDGE-S,36.5,-17.0275,90.0,top
J7,95278-101A12LF,PinHeader_2x06_P2.54mm_Vertical_SMD,-5.5,31.0,180.0,bottom
J8,CON-SMA-EDGE-S,RFSOLUTIONS_CON-SMA-EDGE-S,36.5,56.7775,-90.0,top
J9,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,-5.505,43.005,270.0,bottom
JM1,M55-6002042R,HARWIN_M55-6002042R,25.0,46.0,0.0,top
JM2,M55-6002042R,HARWIN_M55-6002042R,25.0,-6.0,0.0,top
L1,744231091,WE-CNSW_08058,-23.33,34.65,270.0,bottom
L2,1.8uH,L_Changjiang_FNR4020S,-27.41,-12.91,180.0,top
L3,1 kOhms@100MHz,L_0805_2012Metric,-18.4625,-3.2,180.0,top
L4,1 kOhms@100MHz,L_0805_2012Metric,-18.4625,-4.95,0.0,top
L5,1 kOhms@100MHz,L_0805_2012Metric,-18.4625,-6.700001,180.0,top
L6,1 kOhms@100MHz,L_0805_2012Metric,-7.525,-3.2,0.0,top
L7,1 kOhms@100MHz,L_0805_2012Metric,-7.525,-4.95,180.0,top
L8,1 kOhms@100MHz,L_0805_2012Metric,-7.525,-6.700001,0.0,top
M1,MYC-C7Z0XX_M1,251779866,8.5,20.1,90.0,bottom
M2,MYC-C7Z0XX_M1,251779866,53.0,20.1,90.0,bottom
M3,AG9905-MTB,AG9905MTB,-11.39,-10.625,0.0,bottom
Q1,DMG2305UX,SOT-23,-21.29,18.920001,90.0,bottom
Q2,BCM857BS,SOT-363_SC-70-6,-21.47,18.94,-90.0,top
R1,0,R_0603_1608Metric,-15.4,44.015,90.0,top
R10,10k,R_0201_0603Metric,-19.27,17.83,0.0,top
R11,5.1k,R_0201_0603Metric,-28.27,25.09,0.0,top
R12,470,R_0402_1005Metric,-18.096637,50.719878,45.0,bottom
R13,75,R_0402_1005Metric,-26.24,6.11,180.0,top
R14,470,R_0402_1005Metric,-19.226637,49.546637,45.0,bottom
R16,470,R_0402_1005Metric,-8.4,55.91,0.0,bottom
R17,5.1k,R_0201_0603Metric,-28.5175,17.252499,0.0,top
R18,5.1k,R_0201_0603Metric,-0.5,41.5,180.0,top
R2,47k,R_0201_0603Metric,4.83,50.07,180.0,top
R3,470,R_0402_1005Metric,-3.87,15.110001,270.0,bottom
R31,75,R_0402_1005Metric,-26.24,7.32,180.0,top
R32,75,R_0402_1005Metric,-17.78,5.71,90.0,top
