Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,100nF,C_0201_0603Metric,126.8,-100.2,90.0,bottom
C1,4.7uF,C_0402_1005Metric,125.8,-100.0,90.0,bottom
C10,100nF,C_0201_0603Metric,118.226794,-114.649226,150.0,bottom
C100,100nF,C_0201_0603Metric,43.154359,-83.253961,283.8978862,bottom
C101,4.7uF,C_0402_1005Metric,44.077046,-83.688299,283.8978862,bottom
C102,100nF,C_0201_0603Metric,33.199999,-99.799999,270.0,bottom
C103,4.7uF,C_0402_1005Metric,34.199999,-99.999999,270.0,bottom
C104,100nF,C_0201_0603Metric,43.058282,-116.357747,256.10211375,bottom
C105,4.7uF,C_0402_1005Metric,44.077046,-116.3117,256.10211375,bottom
C106,100nF,C_0201_0603Metric,52.671281,-132.867811,240.0,bottom
C107,4.7uF,C_0402_1005Metric,53.637306,-132.541016,240.0,bottom
C108,100nF,C_0201_0603Metric,62.074685,-149.517003,223.89788625,bottom
C109,4.7uF,C_0402_1005Metric,62.912176,-148.935102,223.89788625,bottom
C11,4.7uF,C_0402_1005Metric,117.899999,-113.683201,150.0,bottom
C110,100nF,C_0201_0603Metric,71.426794,-166.410751,210.0,bottom
C111,4.7uF,C_0402_1005Metric,72.1,-165.644725,210.0,bottom
C112,100nF,C_0201_0603Metric,90.695366,-166.152101,196.10211375,bottom
C113,4.7uF,C_0402_1005Metric,91.16487,-165.246802,196.10211375,bottom
C114,100nF,C_0201_0603Metric,109.799999,-166.082032,180.00000000000003,bottom
C115,4.7uF,C_0402_1005Metric,109.999999,-165.082032,180.00000000000003,bottom
C116,100nF,C_0201_0603Metric,128.920325,-166.263041,163.89788625,bottom
C117,4.7uF,C_0402_1005Metric,128.835129,-165.246802,163.89788625,bottom
C118,100nF,C_0201_0603Metric,148.226794,-166.610751,150.0,bottom
C119,4.7uF,C_0402_1005Metric,147.899999,-165.644725,150.0,bottom
C12,100nF,C_0201_0603Metric,137.128718,-115.893713,120.0,bottom
C120,22uF,C_0805_2012Metric,110.0,-125.0,180.0,bottom
C121,22uF,C_0805_2012Metric,146.75,-85.75,180.0,bottom
C122,22uF,C_0805_2012Metric,110.0,-155.0,90.0,bottom
C123,22uF,C_0805_2012Metric,110.0,-44.95,270.0,bottom
C124,22uF,C_0805_2012Metric,176.0,-100.0,0.0,bottom
C125,22uF,C_0805_2012Metric,44.0,-100.0,180.0,bottom
C126,22uF,C_0805_2012Metric,150.83,-85.75,0.0,bottom
C127,100nF,C_0201_0603Metric,150.92,-84.19,0.0,bottom
C13,4.7uF,C_0402_1005Metric,136.362693,-115.220508,120.0,bottom
C14,100nF,C_0201_0603Metric,146.8,-100.2,90.0,bottom
C15,4.7uF,C_0402_1005Metric,145.8,-100.0,90.0,bottom
C16,100nF,C_0201_0603Metric,137.328718,-84.452697,60.0,bottom
C17,4.7uF,C_0402_1005Metric,136.362693,-84.779491,60.0,bottom
C18,100nF,C_0201_0603Metric,128.573205,-68.230265,30.0,bottom
C19,4.7uF,C_0402_1005Metric,127.9,-68.99629,30.0,bottom
C2,100nF,C_0201_0603Metric,118.573205,-85.550773,30.0,bottom
C20,100nF,C_0201_0603Metric,110.2,-68.558983,0.0,bottom
C21,4.7uF,C_0402_1005Metric,110.0,-69.558983,0.0,bottom
C22,100nF,C_0201_0603Metric,91.773205,-68.030265,330.0,bottom
C23,4.7uF,C_0402_1005Metric,92.1,-68.99629,330.0,bottom
C24,100nF,C_0201_0603Metric,82.871281,-84.106286,300.0,bottom
C25,4.7uF,C_0402_1005Metric,83.637306,-84.779491,300.0,bottom
C26,100nF,C_0201_0603Metric,73.2,-99.799999,270.0,bottom
C27,4.7uF,C_0402_1005Metric,74.2,-99.999999,270.0,bottom
C28,100nF,C_0201_0603Metric,82.671281,-115.547302,240.0,bottom
C29,4.7uF,C_0402_1005Metric,83.637306,-115.220508,240.0,bottom
C3,4.7uF,C_0402_1005Metric,117.9,-86.316798,30.0,bottom
C30,100nF,C_0201_0603Metric,91.426794,-131.769734,210.0,bottom
C31,4.7uF,C_0402_1005Metric,92.1,-131.003709,210.0,bottom
C32,100nF,C_0201_0603Metric,109.799999,-131.441016,180.00000000000003,bottom
C33,4.7uF,C_0402_1005Metric,109.999999,-130.441016,180.00000000000003,bottom
C34,100nF,C_0201_0603Metric,128.226794,-131.969734,150.0,bottom
C35,4.7uF,C_0402_1005Metric,127.899999,-131.003709,150.0,bottom
C36,100nF,C_0201_0603Metric,147.450096,-132.69731,130.89339465,bottom
C37,4.7uF,C_0402_1005Metric,146.825098,-131.89147,130.894,bottom
C38,100nF,C_0201_0603Metric,156.910818,-116.462044,109.10660535,bottom
C39,4.7uF,C_0402_1005Metric,156.031373,-115.945735,109.10660535,bottom
C4,100nF,C_0201_0603Metric,101.773205,-85.350773,330.0,bottom
C40,100nF,C_0201_0603Metric,166.8,-100.2,90.0,bottom
C41,4.7uF,C_0402_1005Metric,165.8,-100.0,90.0,bottom
C42,100nF,C_0201_0603Metric,157.041749,-83.91592,70.8933946,bottom
