mic,x,y,angle
M0,20.00000, 0.00000,-90.00000
M1,10.00000,-17.32051,-30.00000
M2,-10.00000,-17.32051,30.00000
M3,-20.00000,-0.00000,90.00000
M4,-10.00000,17.32051,-210.00000
M5,10.00000,17.32051,-150.00000
M6,30.00000,17.32051,-120.00000
M7,40.00000, 0.00000,-90.00000
M8,30.00000,-17.32051,-60.00000
M9,20.00000,-34.64102,-30.00000
M10, 0.00000,-34.64102,-0.00000
M11,-20.00000,-34.64102,30.00000
M12,-30.00000,-17.32051,60.00000
M13,-40.00000,-0.00000,90.00000
M14,-30.00000,17.32051,-240.00000
M15,-20.00000,34.64102,-210.00000
M16,-0.00000,34.64102,-180.00000
M17,20.00000,34.64102,-150.00000
M18,40.00000,34.64102,-130.89339
M19,50.00000,17.32051,-109.10661
M20,60.00000, 0.00000,-90.00000
M21,50.00000,-17.32051,-70.89339
M22,40.00000,-34.64102,-49.10661
M23,30.00000,-51.96152,-30.00000
M24,10.00000,-51.96152,-10.89339
M25,-10.00000,-51.96152,10.89339
M26,-30.00000,-51.96152,30.00000
M27,-40.00000,-34.64102,49.10661
M28,-50.00000,-17.32051,70.89339
M29,-60.00000,-0.00000,90.00000
M30,-50.00000,17.32051,-250.89339
M31,-40.00000,34.64102,-229.10661
M32,-30.00000,51.96152,-210.00000
M33,-10.00000,51.96152,-190.89339
M34,10.00000,51.96152,-169.10661
M35,30.00000,51.96152,-150.00000
M36,50.00000,51.96152,-136.10211
M37,60.00000,34.64102,-120.00000
M38,70.00000,17.32051,-103.89789
M39,80.00000, 0.00000,-90.00000
M40,70.00000,-17.32051,-76.10211
M41,60.00000,-34.64102,-60.00000
M42,50.00000,-51.96152,-43.89789
M43,40.00000,-69.28203,-30.00000
M44,20.00000,-69.28203,-16.10211
M45, 0.00000,-69.28203,-0.00000
M46,-20.00000,-69.28203,16.10211
M47,-40.00000,-69.28203,30.00000
M48,-50.00000,-51.96152,43.89789
M49,-60.00000,-34.64102,60.00000
M50,-70.00000,-17.32051,76.10211
M51,-80.00000,-0.00000,90.00000
M52,-70.00000,17.32051,-256.10211
M53,-60.00000,34.64102,-240.00000
M54,-50.00000,51.96152,-223.89789
M55,-40.00000,69.28203,-210.00000
M56,-20.00000,69.28203,-196.10211
M57,-0.00000,69.28203,-180.00000
M58,20.00000,69.28203,-163.89789
M59,40.00000,69.28203,-150.00000
